,Zm00001d028401,Zm00001d049179,Zm00001d035082,Zm00001d031463,Zm00001d039173,Zm00001d006010,Zm00001d033861,Zm00001d043589,Zm00001d040260,Zm00001d048201,Zm00001d024281,Zm00001d018024,Zm00001d018742,Zm00001d034112,Zm00001d033673,Zm00001d044228,Zm00001d028398,Zm00001d025944,Zm00001d048082,Zm00001d005454,Zm00001d015737,Zm00001d020620,Zm00001d020910,Zm00001d031913,Zm00001d039432,Zm00001d042217,Zm00001d018775
cell_141,0,1,0,2,1,0,0,6,4,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
cell_142,0,0,0,0,0,0,0,2,0,3,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_143,0,0,1,0,0,0,0,2,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_144,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_145,0,0,0,0,1,0,0,6,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
cell_146,1,0,1,1,1,0,1,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_147,2,0,4,0,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0
cell_148,0,0,0,2,0,1,0,3,2,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,4,0,0
cell_149,0,0,1,0,0,0,0,1,0,3,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0
cell_150,2,0,0,0,0,0,0,0,1,0,1,4,0,3,0,1,0,0,0,2,2,0,1,1,1,2,0
cell_151,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
cell_152,2,0,0,0,0,1,1,0,0,0,0,3,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0
cell_153,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_154,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
cell_155,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cell_156,2,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_157,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
cell_158,1,0,0,1,0,0,2,4,0,1,0,2,2,8,2,0,0,0,0,0,0,1,0,0,0,0,0
cell_159,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_160,0,0,3,0,0,0,0,2,0,0,1,2,0,3,0,0,1,0,0,0,3,0,0,3,0,0,0
cell_161,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cell_163,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
cell_164,0,0,0,1,0,0,3,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_165,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
cell_166,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_167,0,0,1,1,0,0,1,7,2,1,0,0,2,3,2,0,0,0,0,4,0,0,0,0,0,0,0
cell_168,0,0,0,0,0,0,1,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_169,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_170,2,0,0,1,1,2,1,0,0,1,1,0,2,4,0,0,1,0,0,0,0,1,0,1,0,0,0
cell_171,0,0,1,2,2,0,0,7,0,4,0,0,3,0,1,0,1,0,0,0,4,1,0,0,0,0,0
cell_172,2,1,1,1,3,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0
cell_173,1,0,0,0,2,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
cell_174,0,0,0,1,5,1,5,0,2,1,0,3,1,0,5,1,0,1,0,0,1,21,0,0,2,2,2
cell_175,0,0,0,1,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cell_176,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,4,0,0
cell_177,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cell_178,0,0,1,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
cell_179,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_180,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_181,1,0,1,1,0,0,0,3,0,1,1,1,0,1,0,0,0,1,0,0,6,0,0,3,0,0,0
cell_182,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_183,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_184,0,0,0,0,2,0,2,3,0,4,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0
cell_185,0,0,2,0,0,0,0,1,0,2,0,0,1,4,0,0,0,0,0,0,2,0,0,1,0,0,0
cell_186,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_187,1,0,0,0,0,0,2,0,0,0,0,4,0,6,0,0,0,0,0,1,0,0,1,0,0,2,0
cell_188,0,0,0,1,0,0,0,4,1,0,0,0,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0
cell_189,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,4,0,0,0
cell_190,0,0,0,0,1,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_191,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_192,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,2,0,0,0
cell_193,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
cell_194,0,0,0,0,0,0,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_195,0,0,1,1,1,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cell_196,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_197,0,0,0,1,1,0,0,10,0,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
