,imagecol,imagerow
cell_874,1604.05,1176.97
cell_875,1605.85,1538.57
cell_876,1606.09,1120.66
cell_877,1606.28,1693.83
cell_878,1608.39,1459.5
cell_879,1609.39,1593.16
cell_880,1609.61,1548.86
cell_881,1609.83,1167
cell_882,1610.61,1133.91
cell_883,1610.62,872.56
cell_884,1611.93,1061.94
cell_885,1612.15,540.44
cell_886,1612.26,1562.07
cell_887,1612.55,1684.95
cell_888,1613.16,1706
cell_889,1614.14,1179.35
cell_890,1614.14,1223.79
cell_891,1614.16,1675.52
cell_892,1616.1,1077.07
cell_893,1617.21,1665.64
cell_894,1617.65,1314.49
cell_895,1618.34,2765.74
cell_896,1618.8,1041.89
cell_897,1619.42,1349.55
cell_898,1619.61,1720.82
cell_899,1620.07,1166.08
cell_900,1620.18,1691.17
cell_901,1620.65,2084.36
cell_902,1621.54,1651.05
cell_903,1621.68,1571.28
cell_904,1621.9,1110.18
cell_905,1622.1,1242.63
cell_906,1622.14,1119.74
cell_907,1623.54,921.09
cell_908,1623.77,1097.91
cell_909,1624.16,1211.06
cell_910,1626.89,1064.74
cell_911,1627.01,1134.95
cell_912,1628.18,1558.33
cell_913,1628.22,1085.25
cell_914,1628.37,573.84
cell_915,1628.47,1262.4
cell_916,1628.99,1195.5
cell_917,1629.34,1681.34
cell_918,1629.56,1156.59
cell_919,1629.59,1053.59
cell_920,1630.75,1530.49
cell_921,1631.2,1629.77
cell_922,1631.74,1547.06
cell_923,1633.42,1035.05
cell_924,1634.07,853.96
cell_925,1634.23,1496.37
cell_926,1636.18,1123.2
cell_927,1636.77,1090.48
cell_928,1637.51,1399.6
cell_929,1637.84,1243.2
cell_930,1637.86,1581.58
cell_931,1638.62,1135.62
cell_932,1639.55,1291.52
cell_933,1639.73,1183.08
cell_934,1639.76,881.22
cell_935,1640.17,1555.78
cell_936,1640.18,1077.7
